task_id,domain,submission_status,file_validity,complete_deliverables,subtotal,cap_triggered,final_score,top_issues,strengths,confidence,human_review_flag
T01,管理沟通与写作,COMPLETE,VALID,True,7.6,False,7.6,Gold要求的收入偏差、完成率及转付费率/流失率百分点变化均未显式计算。；多项下周行动缺少明确个人负责人、截止时点或可验收结果。；正文约781个汉字，超过500-700字要求。,覆盖全部核心经营风险、三项逾期任务和折扣决策，重点排序清楚。；对事故关联和客户风险区分事实与推断，未把未证实原因写成事实。,HIGH,NO
T02,管理沟通与写作,COMPLETE,VALID,True,9.2,False,9.2,未明确写出Atlas相对13周硬期限只有1周缓冲，并与旧合同到期的2周缓冲区分。；迁移里程碑缺少具体验收标准。；采购谈判下一步没有明确回报时点和更具体的责任归属。,三项TCO计算及全部硬性条件判断准确，正确排除Boreal和Cedar。；推荐、风险、合同底线和重新评估条件形成了清晰的决策逻辑。,HIGH,NO
T03,管理沟通与写作,COMPLETE,VALID,True,8.1,False,8.1,Gold要求的ARPU +6.5%、毛利率-4个百分点、NPS-11点未呈现，表中改列了7月环比。；未明确指出净新增从4.0万降至2.0万。；两项董事会决定及后续动作缺少量化止损、验收或触发阈值。,经营洞察平衡呈现规模增长与新增、流失、CAC、毛利和NPS恶化。；对短视频、涨价、客服等待和成本变化均保持因果谨慎，并提出相关分群验证。,HIGH,NO
T04,管理沟通与写作,COMPLETE,VALID,True,9.9,False,9.9,行动项表未设置状态或进展字段，后续追踪略弱。；支付测试负责人虽被如实标为“记录未明确指定”，但未增加确认该负责人的闭环行动。；“最终上线日确认”再次列入待决定事项，虽不改变已决定的条件规则，但与“已决定事项”略有语义重复。,上线目标、支付测试闸门、回退日期及被否决软启动全部记录准确。；四项Gold行动完整，日期、负责人、审批关系和可验证交付物清楚。,HIGH,NO
T05,管理沟通与写作,COMPLETE,VALID,True,8.0,False,8.0,业务影响段将“无证据显示数据丢失或未授权访问”绝对化为“无数据丢失或未授权访问”。；防复发计划缺少发布金丝雀、量化回滚指标和持续事故监控。；全部防复发措施均未指定责任人或验证责任。,事故窗口、回滚/恢复节点、用户及任务影响数据完整准确。；清楚区分已知事实和待验证假设，未将旧token、连接池或缓存因素定性为最终根因。,HIGH,YES
T06,演示与可视化,COMPLETE,VALID,True,9.5,False,9.5,区域趋势页只有数据表，未用图形突出北美+2.4与亚太下滑的贡献差异。；产品组合图未在本页就地标注“百万元”单位，来源仅集中在附录。；行动计划未把33.5百万元目标分解到区域/产品、负责人和阶段里程碑。,所有Gold核心数字和加权毛利率均准确，原生图表数据与页面一致。；6页叙事从结论、区域、组合、诊断到行动闭环，独立摘要合规且一致。,HIGH,NO
T07,演示与可视化,COMPLETE,VALID,True,8.3,False,8.3,试点对象写成“Gamma（或Alpha）”，与Gold check要求优先验证Alpha跨境需求不一致。；试点缺少明确假设、成功指标、时间窗和停止条件。；整套演示无原生图表，关键选项取舍主要靠表格和文字表达。,Beta主推荐清晰，风险调整收入、预算和盈亏平衡约束全部算对。；7页形成选项—取舍—推荐—路线图—决策请求的完整董事会链条。,HIGH,NO
T08,演示与可视化,COMPLETE,VALID,True,7.6,False,7.6,未明确呈现收入超预期3.3%、营业利润超预期7.9%及归一化EPS 3.40。；未计算并展示收入指引中点较一致预期高3.125%。；5页没有任何原生图表或明确数据来源，基金经理所需的比较效率偏低。,正确剔除2.2一次性处置收益，归一化净利润3.4和目标价182美元均准确。；对量弱、价格强和管理层未验证解释的处理较审慎，评级与+2.2%回报一致。,HIGH,YES
T09,演示与可视化,COMPLETE,VALID,True,8.5,False,8.5,未覆盖“已点击/已打开附件但未输入密码”这一关键事件的处置流程。；正常HR示例未明确要求从书签进入，而仅写“可正常使用”。；14–15pt正文和高密度案例文本不利于培训室投影阅读。,近似域名、账户变更、礼品卡、密码/MFA验证码四类风险判断整体准确。；两道互动题及独立答案页齐全，未出现点击、回复或转发可疑邮件来验证的危险建议。,HIGH,YES
T10,演示与可视化,COMPLETE,VALID,True,8.4,False,8.4,"未计算标准版108,000美元和Enterprise Plus 240,000美元最低年合同额。；22%试点证据缺少12家样本与8周周期限定。；没有讲者备注或关键说法，且11–14pt正文/表格不利于现场培训。",HIPAA缺失、数据驻留、价格、席位、试用和折扣边界均表述准确，没有保证性承诺。；目标买方、痛点、发现问题和四类异议覆盖完整，销售流程主线清楚。,HIGH,NO
