sku_id,单品,渠道类型,渠道,是否目标品牌,规格数值,规格单位,价格元,价格类型,城市,采价日期,数据来源,来源链接,备注
PF-01,乐事 原味(黄瓜味)薯片 袋装,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-01,乐事 原味(黄瓜味)薯片 袋装,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-01,乐事 原味(黄瓜味)薯片 袋装,商超,大润发,否,,,,标价,,,门店实地采价,,
PF-01,乐事 原味(黄瓜味)薯片 袋装,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-01,乐事 原味(黄瓜味)薯片 袋装,商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-01,乐事 原味(黄瓜味)薯片 袋装,电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-01,乐事 原味(黄瓜味)薯片 袋装,电商,拼多多,否,,,,标价,,,门店实地采价,,
PF-02,乐事 大波浪 铁板鱿鱼味 薯片,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-02,乐事 大波浪 铁板鱿鱼味 薯片,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-02,乐事 大波浪 铁板鱿鱼味 薯片,商超,大润发,否,,,,标价,,,门店实地采价,,
PF-02,乐事 大波浪 铁板鱿鱼味 薯片,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-02,乐事 大波浪 铁板鱿鱼味 薯片,商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-02,乐事 大波浪 铁板鱿鱼味 薯片,电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-02,乐事 大波浪 铁板鱿鱼味 薯片,电商,拼多多,否,,,,标价,,,门店实地采价,,
PF-03,乐事 青柠味薯片,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-03,乐事 青柠味薯片,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-03,乐事 青柠味薯片,商超,大润发,否,,,,标价,,,门店实地采价,,
PF-03,乐事 青柠味薯片,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-03,乐事 青柠味薯片,商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-03,乐事 青柠味薯片,电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-03,乐事 青柠味薯片,电商,拼多多,否,,,,标价,,,门店实地采价,,
PF-04,好丽友 呀!土豆,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-04,好丽友 呀!土豆,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-04,好丽友 呀!土豆,商超,大润发,否,,,,标价,,,门店实地采价,,
PF-04,好丽友 呀!土豆,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-04,好丽友 呀!土豆,商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-04,好丽友 呀!土豆,电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-04,好丽友 呀!土豆,电商,拼多多,否,,,,标价,,,门店实地采价,,
PF-05,好丽友 薯愿(原切薯条),量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-05,好丽友 薯愿(原切薯条),量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-05,好丽友 薯愿(原切薯条),商超,大润发,否,,,,标价,,,门店实地采价,,
PF-05,好丽友 薯愿(原切薯条),商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-05,好丽友 薯愿(原切薯条),商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-05,好丽友 薯愿(原切薯条),电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-05,好丽友 薯愿(原切薯条),电商,拼多多,否,,,,标价,,,门店实地采价,,
PF-06,上好佳 鲜虾片,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-06,上好佳 鲜虾片,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-06,上好佳 鲜虾片,商超,大润发,否,,,,标价,,,门店实地采价,,
PF-06,上好佳 鲜虾片,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-06,上好佳 鲜虾片,商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-06,上好佳 鲜虾片,电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-06,上好佳 鲜虾片,电商,拼多多,否,,,,标价,,,门店实地采价,,
PF-07,旺旺 仙贝+雪饼 散称,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-07,旺旺 仙贝+雪饼 散称,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-07,旺旺 仙贝+雪饼 散称,商超,大润发,否,,,,标价,,,门店实地采价,,
PF-07,旺旺 仙贝+雪饼 散称,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-07,旺旺 仙贝+雪饼 散称,商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-07,旺旺 仙贝+雪饼 散称,电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-07,旺旺 仙贝+雪饼 散称,电商,拼多多,否,,,,标价,,,门店实地采价,,
PF-08,乐事 散称薯片,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
PF-08,乐事 散称薯片,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
PF-08,乐事 散称薯片,商超,大润发,否,,,,标价,,,门店实地采价,,
PF-08,乐事 散称薯片,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
PF-08,乐事 散称薯片,商超,永辉超市,否,,,,标价,,,门店实地采价,,
PF-08,乐事 散称薯片,电商,淘宝,否,,,,标价,,,门店实地采价,,
PF-08,乐事 散称薯片,电商,拼多多,否,,,,标价,,,门店实地采价,,
KY-01,卫龙 魔芋爽 香辣素毛肚 散装单包,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
KY-01,卫龙 魔芋爽 香辣素毛肚 散装单包,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
KY-01,卫龙 魔芋爽 香辣素毛肚 散装单包,商超,大润发,否,,,,标价,,,门店实地采价,,
KY-01,卫龙 魔芋爽 香辣素毛肚 散装单包,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
KY-01,卫龙 魔芋爽 香辣素毛肚 散装单包,商超,永辉超市,否,,,,标价,,,门店实地采价,,
KY-01,卫龙 魔芋爽 香辣素毛肚 散装单包,电商,淘宝,否,,,,标价,,,门店实地采价,,
KY-01,卫龙 魔芋爽 香辣素毛肚 散装单包,电商,拼多多,否,,,,标价,,,门店实地采价,,
KY-02,卫龙 魔芋爽 素毛肚 袋装,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
KY-02,卫龙 魔芋爽 素毛肚 袋装,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
KY-02,卫龙 魔芋爽 素毛肚 袋装,商超,大润发,否,,,,标价,,,门店实地采价,,
KY-02,卫龙 魔芋爽 素毛肚 袋装,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
KY-02,卫龙 魔芋爽 素毛肚 袋装,商超,永辉超市,否,,,,标价,,,门店实地采价,,
KY-02,卫龙 魔芋爽 素毛肚 袋装,电商,淘宝,否,,,,标价,,,门店实地采价,,
KY-02,卫龙 魔芋爽 素毛肚 袋装,电商,拼多多,否,,,,标价,,,门店实地采价,,
KY-03,卫龙 大面筋/亲嘴烧 辣条,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
KY-03,卫龙 大面筋/亲嘴烧 辣条,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
KY-03,卫龙 大面筋/亲嘴烧 辣条,商超,大润发,否,,,,标价,,,门店实地采价,,
KY-03,卫龙 大面筋/亲嘴烧 辣条,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
KY-03,卫龙 大面筋/亲嘴烧 辣条,商超,永辉超市,否,,,,标价,,,门店实地采价,,
KY-03,卫龙 大面筋/亲嘴烧 辣条,电商,淘宝,否,,,,标价,,,门店实地采价,,
KY-03,卫龙 大面筋/亲嘴烧 辣条,电商,拼多多,否,,,,标价,,,门店实地采价,,
KY-04,盐津铺子 大魔王 麻酱味素毛肚魔芋爽,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
KY-04,盐津铺子 大魔王 麻酱味素毛肚魔芋爽,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
KY-04,盐津铺子 大魔王 麻酱味素毛肚魔芋爽,商超,大润发,否,,,,标价,,,门店实地采价,,
KY-04,盐津铺子 大魔王 麻酱味素毛肚魔芋爽,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
KY-04,盐津铺子 大魔王 麻酱味素毛肚魔芋爽,商超,永辉超市,否,,,,标价,,,门店实地采价,,
KY-04,盐津铺子 大魔王 麻酱味素毛肚魔芋爽,电商,淘宝,否,,,,标价,,,门店实地采价,,
KY-04,盐津铺子 大魔王 麻酱味素毛肚魔芋爽,电商,拼多多,否,,,,标价,,,门店实地采价,,
KY-05,麻辣王子 麻辣条(面筋),量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
KY-05,麻辣王子 麻辣条(面筋),量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
KY-05,麻辣王子 麻辣条(面筋),商超,大润发,否,,,,标价,,,门店实地采价,,
KY-05,麻辣王子 麻辣条(面筋),商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
KY-05,麻辣王子 麻辣条(面筋),商超,永辉超市,否,,,,标价,,,门店实地采价,,
KY-05,麻辣王子 麻辣条(面筋),电商,淘宝,否,,,,标价,,,门店实地采价,,
KY-05,麻辣王子 麻辣条(面筋),电商,拼多多,否,,,,标价,,,门店实地采价,,
KY-06,劲仔 魔芋素肉/魔芋爽,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
KY-06,劲仔 魔芋素肉/魔芋爽,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
KY-06,劲仔 魔芋素肉/魔芋爽,商超,大润发,否,,,,标价,,,门店实地采价,,
KY-06,劲仔 魔芋素肉/魔芋爽,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
KY-06,劲仔 魔芋素肉/魔芋爽,商超,永辉超市,否,,,,标价,,,门店实地采价,,
KY-06,劲仔 魔芋素肉/魔芋爽,电商,淘宝,否,,,,标价,,,门店实地采价,,
KY-06,劲仔 魔芋素肉/魔芋爽,电商,拼多多,否,,,,标价,,,门店实地采价,,
BG-01,奥利奥 原味夹心饼干,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
BG-01,奥利奥 原味夹心饼干,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
BG-01,奥利奥 原味夹心饼干,商超,大润发,否,,,,标价,,,门店实地采价,,
BG-01,奥利奥 原味夹心饼干,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
BG-01,奥利奥 原味夹心饼干,商超,永辉超市,否,,,,标价,,,门店实地采价,,
BG-01,奥利奥 原味夹心饼干,电商,淘宝,否,,,,标价,,,门店实地采价,,
BG-01,奥利奥 原味夹心饼干,电商,拼多多,否,,,,标价,,,门店实地采价,,
BG-02,纳宝帝(丽芝士) 雅嘉奶酪威化,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
BG-02,纳宝帝(丽芝士) 雅嘉奶酪威化,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
BG-02,纳宝帝(丽芝士) 雅嘉奶酪威化,商超,大润发,否,,,,标价,,,门店实地采价,,
BG-02,纳宝帝(丽芝士) 雅嘉奶酪威化,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
BG-02,纳宝帝(丽芝士) 雅嘉奶酪威化,商超,永辉超市,否,,,,标价,,,门店实地采价,,
BG-02,纳宝帝(丽芝士) 雅嘉奶酪威化,电商,淘宝,否,,,,标价,,,门店实地采价,,
BG-02,纳宝帝(丽芝士) 雅嘉奶酪威化,电商,拼多多,否,,,,标价,,,门店实地采价,,
BG-03,嘉士利 果乐果香 夹心饼干,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
BG-03,嘉士利 果乐果香 夹心饼干,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
BG-03,嘉士利 果乐果香 夹心饼干,商超,大润发,否,,,,标价,,,门店实地采价,,
BG-03,嘉士利 果乐果香 夹心饼干,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
BG-03,嘉士利 果乐果香 夹心饼干,商超,永辉超市,否,,,,标价,,,门店实地采价,,
BG-03,嘉士利 果乐果香 夹心饼干,电商,淘宝,否,,,,标价,,,门店实地采价,,
BG-03,嘉士利 果乐果香 夹心饼干,电商,拼多多,否,,,,标价,,,门店实地采价,,
