厂商,口径,单位,2025,2026,2027,2028,扩产要点,数据性质
日东纺,T Glass布有效供给,万米/年,820-1280,900-1500,1600-2600,2400-3600,台湾T纱2026.2量产并至2028.3翻倍；福岛布2027Q1投产上限约3倍；下一代T Glass(CTE~2.0)目标2028,推算(需求×份额×公司倍数)
宏和科技,Low CTE布出货,万米/年,≥100,200-500,500-1500,定增高性能3735中的T布子集,优先保T纱；定增1254吨特种纱2028H1满产；黄石80亿园2026开工(媒体称满产约1.5亿米高端布含T布与Low-Dk2),2025为公司预期；其后为推算
泰山玻纤,特种纤维布合计(含大量Low-Dk),万米/年,销量1917/产能约2400,邹城一期3500爬坡,规划9400,9400,低膨胀可产但未单列T布万米；一期2026H2、其余2027,官方(特种布) / T布未披露
Unitika,Low CTE超薄布,万米/年,推算百万米级,AI基板本格销售,未披露,未披露,2024工研院Low CTE份额约14%；无大型新厂公告,份额倒推 / 官方无产能
富乔,Low CTE/T-Glass,万米/年,Q4少量出货,逐季放量(未披露万米),泰国厂可做载板布,泰国一期500台到齐,高阶(Dk+CTE)占比45%→60-70%；泰国31亿新台币/500台/2027Q3,官方描述 / 无T布万米
旭化成,T Glass商业化产能,万米/年,0,客户评价中,上市时点未定,未宣布T布工厂,主业为Low-Dk；石英布2026认证、2027贡献；现有计划不含玻璃布扩产,官方
台玻,TS-glass/Low CTE,万米/年,已认证出货(未披露万米),随高阶供货+40-50%放量,三期完工CTE为投向之一,维持高阶满产,高阶线4→12；一期2026已产、二期2026底、三期2027；窑炉22.42亿新台币,官方(高阶合计) / T布未拆分
南亚塑料,自有T纱,万米/年,0,0,0,0,不产T纱；代织日东纺特殊布至2027年约20%（2026.1投产）,官方
南亚塑料,代织日东纺特殊布(含T布与NER等),占日东纺特殊布,—,起步爬坡,约20%,视合同,纱来自日东纺,官方目标
全球需求(中信建投),T布需求,万米/年,963,2042,4027,6960,2026缺口最大,卖方测算
全球需求(宏和转引),Low CTE需求,万米/年,约1500,未外推,未外推,未外推,2024约1100万米,研究报告+公司均价
