sku_id,品类,品牌,单品名称,量贩渠道常见规格,商超渠道常见规格,规格是否一致,选入理由
PF-01,膨化/米果,乐事,原味(黄瓜味)薯片 袋装,35g,40g,否,量贩渠道第一大引流膨化单品/规格争议核心
PF-02,膨化/米果,乐事,大波浪 铁板鱿鱼味 薯片,70g,70g,是,少见的跨渠道同规格膨化品/可做纯价格对比
PF-03,膨化/米果,乐事,青柠味薯片,56g,40g,否,同一单品在三渠道出现三种规格/必须折算单位价
PF-04,膨化/米果,好丽友,呀!土豆,38.5g(实测),70g,否,已被媒体实测为量贩克价反而更高的个例
PF-05,膨化/米果,好丽友,薯愿(原切薯条),88g,104g,否,渠道限定缩规格典型案例
PF-06,膨化/米果,上好佳,鲜虾片,30g,65g,否,低价位膨化品/量贩与便利店规格差最大
PF-07,膨化/米果,旺旺,仙贝+雪饼 散称,500g散称,500g散称,是,称重形态/量贩渠道特色业态
PF-08,膨化/米果,乐事,散称薯片,500g散称,以袋装为主,否,量贩独有散称形态/商超无同形态需折算
KY-01,魔芋/辣味素肉,卫龙,魔芋爽 香辣素毛肚 散装单包,约44g/包,约16g/包,否,量贩渠道销量最高的散装辣味单品
KY-02,魔芋/辣味素肉,卫龙,魔芋爽 素毛肚 袋装,约500g/50包,225g,否,电商整箱与商超小包装价差最大的品类
KY-03,魔芋/辣味素肉,卫龙,大面筋/亲嘴烧 辣条,单包散装,袋装,否,辣条基本盘单品
KY-04,魔芋/辣味素肉,盐津铺子,大魔王 麻酱味素毛肚魔芋爽,散称/小包,450g袋装,否,2025-2026增速最快的魔芋大单品
KY-05,魔芋/辣味素肉,麻辣王子,麻辣条(面筋),单包散装,袋装,否,零食很忙起家的湖南本土招牌单品
KY-06,魔芋/辣味素肉,劲仔,魔芋素肉/魔芋爽,散称,袋装,否,魔芋赛道第二梯队/验证品类而非单品结论
BG-01,饼干/威化,奥利奥,原味夹心饼干,77.6g,97g,否,饼干类渠道限定缩规格代表
BG-02,饼干/威化,纳宝帝(丽芝士),雅嘉奶酪威化,散称/小包,袋装,否,进口威化/量贩渠道高频冲动品
BG-03,饼干/威化,嘉士利,果乐果香 夹心饼干,散称/小包,袋装,否,低价位夹心饼干/白牌竞争最激烈价位带
BG-04,饼干/威化,趣多多,巧克力味曲奇,小包装,大包装,否,跨国品牌标品/便于跨渠道匹配
HB-01,烘焙/面包/派,好丽友,巧克力派,较商超版少约69.5g,标准装,否,媒体实测规格差最大的烘焙单品
HB-02,烘焙/面包/派,达利园,蛋黄派,小包装,大包装,否,派类基本盘/量贩以中小规格为主
