sku_id,单品,渠道类型,渠道,是否目标品牌,规格数值,规格单位,价格元,价格类型,城市,采价日期,数据来源,来源链接,备注
PF-01,乐事 原味/黄瓜味薯片,量贩零食,零食很忙,是,35,g,2.80,标价,,2026-07,CBNData/斑马消费,https://www.cbndata.com/information/295547,
PF-01,乐事 原味/黄瓜味薯片,量贩零食,好想来,否,35.5,g,2.80,标价,济南,2026-07-15,新黄河/泰山财经,https://www.jinantimes.com.cn/news-39-5291177.html,记者实测净含量
PF-01,乐事 原味/黄瓜味薯片,商超,济南华联/张小年生活超市,否,40.5,g,3.50,标价,济南,2026-07-15,新黄河/泰山财经,https://www.jinantimes.com.cn/news-39-5291177.html,记者实测净含量
PF-01,乐事 原味/黄瓜味薯片,量贩零食,吖嘀吖嘀,否,35,g,2.80,标价,南昌,2026-07-11,闪电新闻(转载),https://www.huaglad.com/aunews/20260711/650465.html,
PF-01,乐事 原味/黄瓜味薯片,商超,普通超市,否,40,g,3.00,标价,南昌,2026-07-11,闪电新闻(转载),https://www.huaglad.com/aunews/20260711/650465.html,
PF-01,乐事 原味/黄瓜味薯片,量贩零食,量贩零食店(好想来样本),否,35,g,2.80,标价,,2026-07-17,21财经/经济观察网,https://m.21jingji.com/article/20260717/herald/e19a2ed6e545f94457bd66d2fb590a3f.html,
PF-01,乐事 原味/黄瓜味薯片,便利店,7-Eleven,否,70,g,7.60,标价,,2026-07-17,21财经/经济观察网,https://m.21jingji.com/article/20260717/herald/e19a2ed6e545f94457bd66d2fb590a3f.html,
PF-02,乐事 大波浪铁板鱿鱼味薯片,量贩零食,好想来,否,70,g,5.40,标价,杭州,2026-07-31,壹览商业,https://www.yilantop.com/article/26930,
PF-02,乐事 大波浪铁板鱿鱼味薯片,量贩零食,老婆大人,否,70,g,5.40,标价,杭州,2026-07-31,壹览商业,https://www.yilantop.com/article/26930,
PF-02,乐事 大波浪铁板鱿鱼味薯片,便利店,京东便利店,否,70,g,7.50,标价,杭州,2026-07-31,壹览商业,https://www.yilantop.com/article/26930,
PF-02,乐事 大波浪铁板鱿鱼味薯片,商超,世纪联华/物美,否,70,g,4.14,促销价,杭州,2026-07,网易/橙柿财经,https://c.m.163.com/news/a/L1LA8H55051492LM.html,叠加会员促销
