task_id,status
T01,GRADED
T02,GRADED
T03,GRADED
T04,GRADED
T05,GRADED
T06,GRADED
T07,GRADED
T08,GRADED
T09,GRADED
T10,GRADED
T11,GRADED
T12,GRADED
T13,GRADED
T14,GRADED
T15,GRADED
T16,GRADED
T17,GRADED
T18,GRADED
T19,GRADED
T20,GRADED
T21,GRADED
T22,GRADED
T23,GRADED
T24,GRADED
T25,GRADED
T26,GRADED
T27,GRADED
T28,GRADED
T29,GRADED
T30,GRADED
T31,GRADED
T32,GRADED
T33,GRADED
T34,GRADED
T35,GRADED
T36,GRADED
T37,GRADED
T38,GRADED
T39,GRADED
T40,GRADED
T41,GRADED
T42,GRADED
T43,GRADED
T44,GRADED
T45,GRADED
T46,GRADED
T47,GRADED
T48,GRADED
T49,GRADED
T50,GRADED
