task_id,title,status,folder,files
T01,从零散更新生成管理周报,COMPLETE,T01_从零散更新生成管理周报,ANSWER.md
T02,CRM采购决策备忘录,COMPLETE,T02_CRM采购决策备忘录,ANSWER.md
T03,董事会月度经营简报,COMPLETE,T03_董事会月度经营简报,ANSWER.md
T04,会议纪要与行动追踪,COMPLETE,T04_会议纪要与行动追踪,ANSWER.md
T05,生产事故初步复盘,COMPLETE,T05_生产事故初步复盘,ANSWER.md
T06,区域销售经营汇报PPT,COMPLETE,T06_区域销售经营汇报PPT,T06_Q2_Regional_Sales_Review.pptx
T07,增长战略选项董事会PPT,COMPLETE,T07_增长战略选项董事会PPT,T07_Growth_Options_Board.pptx
T08,季度业绩投资者更新PPT,COMPLETE,T08_季度业绩投资者更新PPT,T08_Lumina_Memory_Q4_Investor_Update.pptx
T09,反钓鱼培训课件,COMPLETE,T09_反钓鱼培训课件,T09_Anti_Phishing_Training.pptx
T10,新产品销售赋能PPT,COMPLETE,T10_新产品销售赋能PPT,T10_FocusFlow_Sales_Enablement.pptx
T11,销售数据清洗与汇总,COMPLETE,T11_销售数据清洗与汇总,T11_Sales_Orders_Clean_Summary.xlsx
T12,部门预算差异分析,COMPLETE,T12_部门预算差异分析,T12_Q1_Department_Budget_Variance.xlsx
T13,订阅用户Cohort留存分析,COMPLETE,T13_订阅用户Cohort留存分析,T13_Cohort_Retention.xlsx
T14,库存补货计算器,COMPLETE,T14_库存补货计算器,T14_Reorder_Calculator.xlsx
T15,六个月现金流情景模型,COMPLETE,T15_六个月现金流情景模型,T15_Six_Month_Cash_Model.xlsx
T16,B2B整合营销文案,COMPLETE,T16_B2B整合营销文案,ANSWER.md
T17,品牌语气本地化,COMPLETE,T17_品牌语气本地化,ANSWER.md
T18,客户投诉分级与回复,COMPLETE,T18_客户投诉分级与回复,ANSWER.md
T19,企业客户RFP响应,COMPLETE,T19_企业客户RFP响应,ANSWER.md
T20,线索评分与个性化外联,COMPLETE,T20_线索评分与个性化外联,ANSWER.md
T21,双向NDA条款审阅,COMPLETE,T21_双向NDA条款审阅,ANSWER.md
T22,主服务协议草案,COMPLETE,T22_主服务协议草案,T22_Orion_Northstar_MSA_Working_Draft.docx
T23,员工纪律调查通知,COMPLETE,T23_员工纪律调查通知,ANSWER.md
T24,隐私事件通知判断,COMPLETE,T24_隐私事件通知判断,ANSWER.md
T25,营销主张合规审查,COMPLETE,T25_营销主张合规审查,ANSWER.md
T26,竞争格局与供应商短名单,COMPLETE,T26_竞争格局与供应商短名单,ANSWER.md
T27,市场规模TAM_SAM_SOM,COMPLETE,T27_市场规模TAM_SAM_SOM,ANSWER.md
T28,云供应商风险尽调,COMPLETE,T28_云供应商风险尽调,ANSWER.md
T29,混合办公政策备忘录,COMPLETE,T29_混合办公政策备忘录,ANSWER.md
T30,存储公司季度业绩研究,COMPLETE,T30_存储公司季度业绩研究,ANSWER.md
T31,三张财务报表勾稽检查,COMPLETE,T31_三张财务报表勾稽检查,ANSWER.md
T32,多情景股票投资备忘录,COMPLETE,T32_多情景股票投资备忘录,ANSWER.md
T33,组合敞口与压力测试,COMPLETE,T33_组合敞口与压力测试,ANSWER.md
T34,IFRS16租赁摊销表,COMPLETE,T34_IFRS16租赁摊销表,T34_IFRS16_Lease_Amortization.xlsx
T35,采购三年TCO_NPV,COMPLETE,T35_采购三年TCO_NPV,T35_Vendor_TCO_NPV.xlsx
T36,跨职能上线计划,COMPLETE,T36_跨职能上线计划,T36_Launch_Plan.xlsx
T37,客户上线SOP,COMPLETE,T37_客户上线SOP,ANSWER.md
T38,客服排班优化,COMPLETE,T38_客服排班优化,ANSWER.md
T39,供应商加权评分,COMPLETE,T39_供应商加权评分,ANSWER.md
T40,制造缺陷根因初析,COMPLETE,T40_制造缺陷根因初析,ANSWER.md
T41,岗位说明书与招聘评分卡,COMPLETE,T41_岗位说明书与招聘评分卡,ANSWER.md
T42,面试证据综合与录用建议,COMPLETE,T42_面试证据综合与录用建议,ANSWER.md
T43,绩效反馈与30天改进计划,COMPLETE,T43_绩效反馈与30天改进计划,ANSWER.md
T44,办公室搬迁公告与FAQ,COMPLETE,T44_办公室搬迁公告与FAQ,ANSWER.md
T45,培训需求分析与30天计划,COMPLETE,T45_培训需求分析与30天计划,ANSWER.md
T46,高管收件箱分流,COMPLETE,T46_高管收件箱分流,ANSWER.md
T47,跨城市高管差旅议程,COMPLETE,T47_跨城市高管差旅议程,ANSWER.md
T48,150人客户活动方案,COMPLETE,T48_150人客户活动方案,ANSWER.md
T49,双语合同差异核对,COMPLETE,T49_双语合同差异核对,ANSWER.md
T50,CEO董事会综合材料,COMPLETE,T50_CEO董事会综合材料,T50_Board_Memo.docx|T50_Board_Pack.pptx|T50_Board_KPI_Appendix.xlsx
